,mail_content
975,"Mark:  

Attached is my ""short version"" of Eligible Contract Participant (I would 
generally send to credit, new lawyer, etc.)  I am still uncertain about the 
status of the Trade Option Exemption (Issue 4); I understood from the 
conversation that you, Brent and I had that the old rules were out.  I have 
heard a different interpretation.  What is the status of this exemption under 
the new law?



Sara Shackleton
Enron North America Corp.
1400 Smith Street, EB 3801a
Houston, Texas  77002
713-853-5620 (phone)
713-646-3490 (fax)
"
976,"Sara Shackleton
Enron North America Corp.
1400 Smith Street, EB 3801a
Houston, Texas  77002
713-853-5620 (phone)
713-646-3490 (fax)
"
977,"Sara Shackleton
Enron North America Corp.
1400 Smith Street, EB 3801a
Houston, Texas  77002
713-853-5620 (phone)
713-646-3490 (fax)
"
978,"Janie:  I prepared a format last week for Allegheny for use until the ISDA 
Master Agreement is executed.  Let me know if you have any questions.

Sara Shackleton
Enron North America Corp.
1400 Smith Street, EB 3801a
Houston, Texas  77002
713-853-5620 (phone)
713-646-3490 (fax)
"
979,"Susan:  This is for the ING master.  We need to email to Cheryl and her 
colleagues.

Sara Shackleton
Enron North America Corp.
1400 Smith Street, EB 3801a
Houston, Texas  77002
713-853-5620 (phone)
713-646-3490 (fax)
"
980,"Bob:

(1) got a vm from Carol and she really needs the EES C.A. - I know she left 
you a vm

(2)  surprise!  I just received an email from Cargill asking about none other 
than setoff Part (b)!  Let me know what you find out.


Sara Shackleton
Enron North America Corp.
1400 Smith Street, EB 3801a
Houston, Texas  77002
713-853-5620 (phone)
713-646-3490 (fax)
"
981,"FYI
"
982,"Do I need to show you where in my house my study is?  (2nd floor of the=20
house)  Also, will I be able to get email while travelling, etc?


"
983,"Why is she not being promoted down there, or staying within that 
organization???




"
984,"I understand, however, each book you assign to a trader will have a line so 
you and I can follow the performance of each book/trader.  Ok if you want to 
take over arb books, but they (positions and p&l will be your responsibility 
and will be judged by performance--like any other book/trader) must be 
managed without the team approach of books prior.    The 1 million Var 
applies to the line next to Ross's name on the p&l sheets.  I don't know how 
many people trade that book, but I assume it is only ross.  If ross get's 
bulled up at every sign of snow in london, all the more reason to get a 
weather guy hired asap.  

Small positions, and taking profit frequently is the key to turning this boat 
around.  

Later,   Jeff




Chris Mahoney
01/02/2001 03:22 PM
"
985,"I'm out of here.  Have a nice afternoon.




"
986,"print please
"
987,"It doesn't seem my secluding myself from friends is helping my state of 
being.  I worked all weekend and played with the pups, but I'm not emailing 
you to tell you that.  Can I call you tonight?"
988,"Low numbers.
"
989,"1818 SOUTH.  




"
990,"please print
"
991,"When are you going to Israel?  How's life?  I have a friend who is going to 
be there in Feb?"
992,"Steel is not part of global markets, and if you could take it off this 
report, I'd appreciate it.  Also, Please add a section that shows new 
products as we add them to the portfolio.  

Thanks.  Jeff


   
	Enron North America Corp.
	
"
993,"On March 14, 01, FERC issued an ""Order removing obstacles to increased 
electric generation and gas supply in the West..""  (Docket No. EL01-47).

 Most significantly, FERC authorizes industrials in WSCC to sell power to 
licensed power marketers (like EPMI and EES) effective 3/14/01 through 
12/31/01.  The industrial does not have to obtain its own power marketer 
license from FERC (subject to EPMI and EES making filings for the 
industrials).  (This is similar to the authorization that EPMI and EES 
requested nationwide earlier this year -- we should hear from FERC on that 
request by mid-May.)

In addition, FERC authorizes DSM sales at wholesale at market based rates.

Specifics:

Owners of generating facilities located at business locations in the WSCC and 
used primarily for back-up for self-generation (who will be ""public 
utilities"" subject to the Federal Power Act only while they sell at 
wholesale) can sell power at wholesale from such facilities to non-affiliated 
entities (like EPMI or EES) without prior notice under section 205 of FPA 
(would usually require 60 day advance notice filing).  
  -- Waives certain parts of the filing requirements for the industrial; 
however, the industrial will still be subject to shortened filing 
requirements for dispositions of facilities and interlocking positions while 
they are selling at wholesale.
 -- EPMI and EES will make the FERC quarterly filings on behalf of the 
industrials for any of these purchases.  Our report must show the names of 
the industrial; aggregate amount of capacity and/or energy purchased from 
each seller; and the aggregate compensation paid to each seller.  
Accounting/commercial folks for EPMI and EES-- please make sure these 
purchases are flagged in the accounting system, since the report will be 
separate from our big quarterly reports.
 -- This does not authorize the retail industrial customer to violate any 
rules or tariffs of its host utility.  This does not authorize an industrial 
to resell power it purchases (only can sell what it generates); unless 
otherwise allowed (or not precluded) by its retail tariff -- must file a rate 
schedule at FERC for this, but FERC will be receptive to granting waivers and 
authorizations.
 -- This authorization expires after 12/31/01.
Effective 3/14/01 through 12/31/01, retail customers in WSCC, as permitted by 
state laws and regulations, and wholesale customers are authorized to reduce 
consumption for the purpose of reselling their load reduction at wholesale at 
market-based rates.  These transactions can occur in several ways:  An 
aggregator can line up retail load to acquire enough negawatts to resell in a 
manner similar to what aggregators do when they sell power to retail load 
under retail choice programs.  In addition, wholesale and retail load with 
contract demand service could resell their contract demands if the value of 
power is greater than the value of consumption.  Similar quarterly reports 
would be due by EPMI/EES.
NOTE:  the industrial still has to obtain the interconnection agreement with 
transmission provider (may need new interconnection facilities, etc.) 
Remember that you still need to get transmission on OASIS when the power is 
wheeled away from the industrial.

Other initiatives in the order:

Utilities are encouraged to make DSM arrangements with wholesale customers.  
FERC waives the prior notice requirement for amended contracts that are 
required to be filed at FERC.
Clarifies that DSM should be treated consistenly with all other types of 
incremental and out-of-pocket costs for utilities.
Reminds transmission providers to keep ATCs current, including CBM and TRM.
Provides incentive rates for new transmission projects that can be in service 
by July 1 (and to a lesser extent -- by November 1 of 01 and 02).
Considers ""rolled in"" rates for generation interconnection (rather than 
direct assignment that we have now.)
Extends temporary waivers through 12/31/01 of operating and efficiency 
standards for QFs.  Allows QF to sell output above historical supply though a 
negotiated bilateral agreement at market based rates, if sold in California 
and the WSCC.
FERC will review interconnection issues that impede generation from reaching 
load (ie, if a utility does not act within time limits on interconnection 
requests, etc.)
Provides for increased staff and quicker gas pipeline additions review.

Please let me know if you would like the order.  Ray Alvarez (202-466-9170) 
and I (713-853-7007) can assist you with this.  Thanks.
"
994,"Jim, here is latest version to share with ENA.  
"
995,"The NYPSC today issued an Order directing the expedited consideration of  
""bottoms-up"" rate unbundling by all of the state's major electric and gas 
utilities. Enron has long pushed the PSC to address this issue. The PSC wants 
unbundled rates in effect by the first half of 2002, and has set up a 
two-stage process to get there. Under the first stage, which the PSC wants 
completed and brought to them for decision by this August, major policy 
issues of statewide import  are to be considered. Resolution of these issues 
will guide the actual embedded cost studies which each of the utilities are 
directed to perform. These cost studies and the fully unbundled rates that 
will flow from them, will then be reviewed in utility-specific cases. The PSC 
expects the studies to be completed before the end of this year.  I 
anticipate that we will actively participate in this proceeding, which is 
actually being spun off from the ""end-state"" proceeding, through our NESPA 
coalition. A copy of the PSC's order should be available on their website:  
www.dps.state.ny.us"
996,"As discussed with you last week, Governor Pataki is holding a fundraiser for 
his reelection campaign in Houston on Monday, June 4th. (His current terrm 
expires in 2002.) According to the fundraiser organizing this event, 
Elizabeth Blakemore (713-526-3399), there will be a reception from 5-6:30 
p.m. at the home of Judy and Jack Holmes in River Oaks, followed by a dinner 
at 7 for approximately 20 people at a location to be determined. Governor 
Perry will be attending the reception, but not the dinner. All proceeds from 
the fundraiser will go to the Pataki campaign. Tickets to the dinner are 
$5,000.00 per person.

When I spoke with Blakemore last week, she indicated that the event was being 
chaired by Bill Wise from El Paso, but she was willing to figure out a way to 
get Ken or Jeff equal billing. She indicated that they do not yet have a 
location for the dinner and suggested that it might be hosted in Ken or 
Jeff's home. She also suggested that if we were willing to commit to $25,000, 
we should be given co-chair status and would check with Pataki's office to 
confirm that. I spoke with Blakemore today (5/11) and she confirmed that we 
would definitely be given co-chair status for a $25k contribution. (She noted 
that there may in fact be one or two others as well.) 

I recommend that we co-host the event. As Rick correctly noted, we don't have 
much of a relationship with Pataki, and this would give us a chance to begin 
to establish closer ties with him. As you may be aware, NY law limits 
corporate donations to NY candidates in any one year to $5,000.00 in the 
aggregate. However, every individual corporation is allowed to make a 
separate $5,000.00 contribution. 

For the time being, I asked Blakemore to use me as her contact person. But it 
makes sense to get her hooked up with someone in Houston. Let me know how you 
want to proceed."
997,"This is a follow up on the conference call during which Pam Hill of Mirant 
mentioned this documents.  MAAC's comments regarding RTOs future role in 
reliability standards could have a significant impact on the ongoing NERC 
organization standards process.  The NAERO working group will review these 
documents and consider what recommendations, if any, to make to the full 
Regulatory Affairs Committee.

 - 20010607_resolution.pdf
 - 20010607_rev_nerc.pdf"
998,"

  RTO Week
Day 2 -- October 16, 2001
Transmission Planning & Expansion
The afternoon panel discussed transmission planning and expansion. The pane=
lists were: Jose Degado--CEO American Transmission Company, Michael Dworkin=
--Chair Vermont PSC, Mark Maher--VP Transmission Business Line, Bonneville =
Power Administration, Lara Manz--PSE&G, Masheed Rosenqvist--National Grid, =
Steve Walton--Enron.
General Observations
The Commissioners were all present although the did leave and return from t=
ime to time.  Commissioner's Breathitt and Massey were the most active in q=
uestioning.  The FERC Staff were active in asking questions after the initi=
al presentations, moving along the discussion by asking questions.  There w=
as some reference to the morning discussion of congestion management, howev=
er, there was no discussion of the merits of the various types of transmiss=
ion rights.  There was a good deal of consensus around the concept of the R=
TO Planning Process being first a provider of information to the market (wh=
ere are problems, how might they be solved, etc.) and that the where possib=
le that expansion be funded by market participants who would benefit.  Ther=
e was a good deal of discussion of ""least cost planning"" and the identifica=
tion of options which are not transmission related.  All agreed there had t=
o be backstop authority to build transmission, however then the challenge i=
s who pays for it, which raises the need for dispute resolution. =20
Opening Statements
Jose Delgado: ATC is a transmission only company with MISO as the system op=
erator.  They view everyone as a customer whose needs are to be met.  They =
were formed by divestiture by IOUS, coops and munis and with a $500 million=
 asset base initially. Their current ten year plan will add $1billion of in=
vestment.   Their top priorities are connecting generation and load. =20
Michael Dworkin: Because transmission is a common good, construction affect=
s all parties not just one party.  The environmental and permitting of line=
s requires a balance of benefits with costs and a long range view.  The ide=
a of joint boards should be considered for dealing with multi-state project=
s, although FERC has show little interest in joint boards they have been us=
ed by FCC.  State input needed because of the local needs and impacts which=
 must be considered.
Mark Maher: FERC must consider the unique characteristics of the West when =
considering congestion management.  LMP is not a good fit to hydro systems =
with their multiple use obligations.  RTO West is developing a planning pro=
cess which will give the RTO the freedom to develop options as we learn in =
the future.  The RTO needs a strong centralized planning process.
Laura Manz: The various aspects of planning are connected.  Pricing (LMP) i=
s the key to getting the right signals for expansion of transmission and re=
sources.   No competitor should have an advantage over another.  The RTO ne=
eds a central planning process but it shouldn't push solutions.  The market=
 should decide on solutions. =20
Masheed Rosenqvist: The morning discussion of congestion management talked =
about hedging against risk.  The planning discussion is not about what we h=
ave now, but about how to avoid future congestion.  The Commission has take=
n conflicting positions in different cases.  The issues that need to be ans=
wered are:  How can merchant transmission be compensated?  Should transmiss=
ion projects be open to RFPs?  Is FERC open to market based pricing for exp=
ansions? =20
Steve Walton:  The most important thing for FERC to do for expansion is to =
settle the matter of industry structure do away with the uncertainty that h=
as frozen transmission investment.  The RTO debate has been going on for 5 =
years or more and needs to be settled.  For expansion to go forward, there =
needs to be a clear property right which accrues to the expanding party.  Y=
ou are always going to have muddy issues in planning.  For instance if a 13=
8 kV line is all that is needed to day, but future considerations of scare =
right-of-way say a 345 kV line should be built, who pays for the extra cost=
.  In order to resolve such matters the planning process must include a dis=
pute resolution process, appeal able to FERC, to decide such matters.
Discussion
Kevin Kelly asked about he fact that some parties benefit form current cong=
estion so how does a stakeholder process get things built when some oppose.=
  Most agreed that if a party wants to fund construction it should be built=
 with the beneficiaries funding.  Michael Dworkin expressed concerns about =
use of eminent domain to build which means a benefit test must exist to say=
 this is the best solution, i.e. least cost planning.  This lead to discuss=
ion of the need for the RTO to be provider of information to all parties so=
 they can make intelligent decisions. =20
Commissioner Massey asked about whether the system was (a) under built and =
needed lots of expansion so don't worry about overbuilding or (b) transmiss=
ion planning should consider all options before construction of new facilit=
ies.  The panel agreed that pricing needs to be a prime determinant in the =
process.  Michaela Dworkin worried that overbuilding distorts decisions.  L=
aura Manz felt that the term ""under built"" is a secondary effect of not hav=
ing proper pricing of locational prices to guide parties.
Dick O'Neil asked if LMP will work in the West.  Mark Maher said it wouldn'=
t.  Laura Manz said it applies everywhere because of physics, they manage h=
ydro facilities in PJM.  Michael Dworkin said LMP means an explicit measure=
 of cost of congestion and the value of generation at locations and ought n=
ot to be rejected just intelligently designed.  BPA is looking pricing mode=
l but LMP won't work.  Steve Walton said LMP needed for real time dispatch,=
 but given the nature of the Northwest hydro system it must have some ""twea=
ks"" like bilaterals and allow operator self-schedule output levels to permi=
t  river coordination.  Hydro system optimizes over weeks and months to max=
imize firm energy production not on an hour to hour basis.  PJM has hydro, =
but not 70% as in the Northwest.  Implementation will be different because =
such thing as unit commitment are different when you have primarily hydro a=
nd base load coal.
In the summation at the end of the panel, four principles were listed:  (1)=
 RTO must provide information, (2) RTO should identify solutions, (3) RTO s=
hould be unbiased and (4) the RTO should be accountable.  The disagreement =
was over the last two points, Michael Dworkin felt that #3 (unbiased) was c=
ritical and that #4 (accountability) was accomplished by having regulators =
involved in governance.  Jose Delgado said and Transco can't be unbiased si=
nce it provides services, although the ISO above it can be, but accountabil=
ity is based on loosing your investment if you make an mistake.  This last =
point really comes down to a preference for ISO over Transco forms and the =
tension which exist because unbiased and accountability issues.
Steve"
999,"Please see the attached summary of the captioned session.  The positions of the speakers, as well as those of the Commissioners, are summarized.  Should you require additional information on a specific topic, please don't hesitate to contact me.

 "
1000,"John--this is the recap from Thursday afternoon of RTO week.  Although Andy=
 did not focus on it in his report, there was an individual who sat on the =
panel from Missouri that did a fantastic job of supporting FERC and market =
postitions despite the fact that he is a public power guy.  His name is Bil=
l Burks and he is the Associate General Manager of the City Utilities of Sp=
ringfield, Missouri.  In his comments he stated that his utility was ""whole=
heartedly supporting FERC moving forward to push for on RTO"" and then went =
on to talk about how Missouri is going to continue to suffer from seams iss=
ues if FERC doesn't stick to their guns on just a few major RTOs.
=20
He stated that ""flexible"" standardization would not work and that the FERC =
should put out a platform of standardized tariffs and if there was some uti=
lity or group of stakeholders that thought they were special or unique or d=
ifferent, then the burden of proff should be on them to petition FERC for a=
n exemption, not the other way around. =20
=20
I'm thinking that this gentlemen would be an excellent choice for a committ=
ee hearing if you have the opportunity to suggest folks to testify in the f=
uture. IF you are able to get transcripts from RTO week, it might also be w=
orth it to review his comments and pass them on as appropriate. =20
=20
=20
=20

"
1001,"

"
1002,"Sherri

I likely will be arriving late, so probably should pass.  Pls pass along my
thanks, though.

Jt
"
1003,"fyi
"
1004,"Couple of additional pieces of information:

In conjunction with the issue paying ESPs past due PX amounts, Edison has affirmed that it will be making a proposal regarding how it wants to calculate the PX credit going forward.
It remains unclear whether Edison will try to fold controversial issues into negotiations on getting paid past due PX credit amounts(e.g., PX credit contributed to undercollection and therefore DA customers should help pay down the undercollection; DA customers must pay for stranded DWR contracts, etc.).  
So while Edison is making good noises about wanting to settle (which is a certainly a step in the right direction), it's still unclear whether they intend to attach terms to the deal that make the whole thing a nonstarter.
Got a call into John Fielder to try to get answers to some of these questions.
Will report back when (and if) we get some answers.

Best,
Jeff

 "
1005,"Dear Melissa, Rebecca, and Michael,

  I'm sending you an attachment of a manual that I have in progress that I think may be a useful tool for Settlements in order to help the Settlement Coordinators in their research before they enter a dispute into DMS.

  I believe that by following this outline, the coordinators can easily find information that will help to settle a dispute and I hope that we can eliminate 10% of the total number of disputes entered each month.  

  Please look over what I have put together and provide me with any feedback or additions that you might have.  
  
  I hope to have this document ready for implementation by next Friday 5-18-01.

  Thanks for your help, guys.

  Virginia
	

  "
1006,"Below is the agenda for the TCPL MOU meetings next week.  I plan on attendi=
ng=20
the first day and participating in the Services/Expansion/Turnback working=
=20
group #3 in the afternoon.  If it looks worthwhile I can continue to cover=
=20
selectively on later days as well.

If anyone has any concerns or questions please let me know.

Kevin
TransCanada Pipelines and Stakeholders
Mainline Service and Pricing Settlement
Memorandum of Understanding Working Sessions
March 19th to 23rd, 2001

Objectives: To agree on the language of the Memorandum of Understanding by=
=20
end of week, including:
? the content of the document to ensure alignment of concepts;
? clear and understandable language, that is
? simple and concise.

Format of the Week of March 19th to 23rd=20

Note:  Following the discussions Monday morning, the large Stakeholder Grou=
p=20
will be broken down into working groups with specific MOU topics to review.=
=20
These working groups will report back their recommendations to the=20
Stakeholder Group.=20

 Please note the working group topics and be prepared on Monday morning to=
=20
select (or be assigned to) a group of interest to you.=20

Date and Time=09Action=09TCPL Resource
Monday March 19th
9:00am to 12:00pm=091. Review the format and process for the week
=092. Assign working groups
=093. IT pricing agreement =20
=094. Turnback policy agreement=09
=09=09
=09=09Steve
=09=09Steve
1:00pm to 4:45pm=095. Breakout into working groups
=09Group 1: Articles 4.5.6.7. and Schedule E=20
=09Group 2: Articles 8.9.10 and Schedule E
=09Group 3: Articles 11.12. and Schedules A.B.C.
=09The working groups are also responsible to review the Objectives and=20
Definitions for their relevant topics.=09
=09=09John/Wendy
=09=09Marg
=09=09Steve
4:45pm to 5:15=09Reconvene Stakeholder Group
=096. Process check
=097. Establish priorities for Tuesday=01,s sessions=09
Tuesday March 20th=20
9:00am to 12:00pm=098. Working groups (1.2.3.) review/discuss recommendatio=
ns with=20
Stakeholder Group =09
1:00pm to 4:00pm=099. Breakout into working groups
=09Group 4: Articles 13.14
=09Group 5: Article 15 and Schedule D
=09Group 6: Articles 16.17.18.19 and 20.
=09Also review the Objectives and Definitions =09
=09=09Debbie
=09=09John
=09=09Marg/Dixie
4:00pm to 5:00pm

=09Reconvene Stakeholder Group
=0910. Process check
=0911. Identify outstanding issues
=0912. Establish priorities for Wednesday sessions=09
=09End of Tuesday=09
Wednesday, March 21st=20
9:00am to 12:00pm=0913. Working groups 4.5.6. review/discuss recommendation=
s with=20
Stakeholder Group
=0914. Process check
=0915. Identify outstanding issues
=0916. Establish priorities and assign work=09

Note: The work will be scheduled for Wednesday, Thursday and Friday on=20
Wednesday once all of the Articles of the Memorandum of Understanding has=
=20
been reviewed.


Working Group Assignments:

All Groups: Article 1: Introduction
  Article 2: Interpretation
  Article 3: Term

Group 1: Article 4: Revenue Requirement
  Article 5: Severance Program
  Article 6: Merger Agreement
  Article 7: Composite Depreciation Rate
  Schedule E

Group 2: Article 8: Inventory Management Program
  Article 9: Revenue/Asset Management Program
  Article 10: Incentive Programs
  Schedule E

Group 3: Article 11: Services
  Article 12: Expansion/Turnback
  Schedules A and B and C

Group 4: Article 13: Future Business and Regulatory Model
  Article 14: Code of Conduct

Group 5: Article 15: Reporting Requirements
  Schedule D

Group 6: Article 16: Termination
  Article 17: Dispute Resolution Process
  Article 18: Filing Requirements
  Article 19: Disposition on Termination or Expiration
  Article 20: Miscellaneous Provisions"
1007,"The report named: CE P/L <http://trv.corp.enron.com/linkFromExcel.asp?report_cd=4&report_name=CE+P/L&category_cd=3&category_name=CENTRAL&toc_hide=1&sTV1=3&TV1Exp=Y&current_efct_date=11/21/2001>, published as of 11/21/2001 is now available for viewing on the website."
1008,"There is one more addition to the Meeting Notes from last week.  I overlooked 
the very important live feed for Gas Daily/intra-month curves, so the revised 
file below adds this as Issue #2a.

Also, regarding our next meeting:  Normally I'd like to hold our weekly 
meetings on Wednesday afternoons; however, I will not be here this Wednesday 
and Thursday.   So, please mark your calendars for a meeting on Tuesday, 
March 13 at 11:30 am in EB3270 to review progress, discuss the Gas Daily 
issues and address any questions on direction, priorities, etc.   Please let 
me know if you cannot attend.
"
1009,"> > > >
> > > > > > A herd of buffalo can only move as fast as the slowest buffalo,
> >and
> > > > > > when the herd is hunted, it is the slowest and weakest ones at
>the
> > > back
> > > > > > that are killed first. This natural selection is good for the
>herd
> >as
> > > a
> > > > > > whole, because the general speed and health of the whole is
> >maintained
> > > > > > or even improved by the regular culling of the weakest members.
> > > > > > In much the same way, the human brain can operate only as fast
>as
> >the
> > > > > > slowest brain cells through which the electrical signals pass.
> >Recent
> > > > > > epidemiological studies have shown that while excessive intake
>of
> > > > > > alcohol kills off brain cells, it attacks the slowest and
>weakest
> > > > > > brain cells first. Thus, regular consumption of beer helps
> >eliminate
> > > the
> > > > > > weaker cells, constantly making the brain a faster and more
> >efficient
> > > > > > machine. The result of this in-depth study verifies and
>validates
> >the
> > > > > > causal link between all-weekend parties and job related
> >performance.
> > > > > > It also explains why, after a few short years of leaving a
> >university
> > > > > and
> > > > > > getting married, most professionals cannot keep up with the
> > > > > > performance of the new graduates. Only those few that stick to
>the
> > > > > strict
> > > > > > regimen of voracious alcoholic consumption can maintain the
> > > intellectual
> > > > > > levels that they achieved during their college years.
> > > > > > So, this is a call to arms. As our country is losing its
> >technological
> > > > > > edge, we must not shudder in our homes. Get back into the bars.
> >Quaff
> > > > > > that pint. Your company and country need you to be at your peak,
> >and
> > > > > > you shouldn't deny yourself the career that you could have. Take
> >life
> > > by
> > > > > > the bottle and be all that you can be.
> > > > > > Forward this to all of your friends, acquaintances and
>co-workers
> >that
> > > > > > may be in danger of losing their edge.
> > > > > >



***********************************************************************
Bear Stearns is not responsible for any recommendation, solicitation,
offer or agreement or any information about any transaction, customer
account or account activity contained in this communication.
***********************************************************************

"
1010,"This has been changed.

Thanks,
Kate




"
1011,"Deal is 507436 - Sean forgot the broker - it's been added.

Thanks,
Kate




"
1012,"I have changed the following deals b/c the selected CPs are incorrect.  Also, 
please remember not to pick CPs in brackets as they are inactive.  Thank you 
for your help.

507901 should be Allegheny Power, Transmission Business Unit
507842 should be Dynegy Power Marketing, Inc.
506767 should be NRG Power Marketing, Inc.
507900 should be PJM Interconnection LLC
506618 should beTransalta Energy Marketing (US) Inc.
506727 should beTransalta Energy Marketing (US) Inc.
506747 should beTransalta Energy Marketing (US) Inc. 
"
1013,"Those are east trades and you probably don't have access to them.  I just 
bundled west and east so you can ignore them.


   Kate Symes                01/30/2001 04:23 PM

"
1014,"missing 2 deals

trader?
buying constellation
117.50
25 mw
dec
mid c
on peak

trader
buying constellation
84.00
25 mw
Q1
np-15
on peak"
1015,"MIKE SWERZBIN

I am missing the following deals per Amerex:
Mike Swerzbin sells El Paso Cal'02 PV at $139.00 peak hrs.
Mike Swerzbin buys Puget Sound February Mid-C $400.00 peak hrs.


CHRIS MALLORY:

Chris Mallory:  Amerex does not recognize deal 508224




I am confirming with Prebon right now...so I may have more discrepancies..

Thanks!"
1016,"Sorry, see 531726.  


   Kate Symes                02/27/2001 12:50 PM

"
1017,"I've auto-scheduled deals 566424 and 566426, and I'm including the Real Time 
spreadsheet for 4/9. The volumes I see in this sheet match the deals in our 
Scheduling system exactly (deal in question was 576512). Please let me know 
if this sheet is different than the one you were given, or if we've got 
another problem. And let me know if those first two deals show up on your 
CARP report.

Thanks for your time on this,
Kate




"
1018,"I just got this from Cute Blazer Guy - thought you might like to distribute 
it to the Origination team in case people want to partake in some more Blazer 
mania...

Kate
"
1019,"add it to the e-mail version of the report.


   Kate Symes                02/23/2001 04:08 PM

"
1020,"Attached are the EPMI-EES sale prices for the first week of February. I will 
resume responsibility for maintaining and sending the spreadsheet tomorrow, 
and you can expect to receive it daily. Thanks for your patience while we 
were working out the kinks on this one.

Kate
"
1021,"Diana is again not in today, but Sean Crandall is checking on it. I'll let 
you know any minute.

Kate


   
	
	
	From:  Sharen Cason                           02/07/2001 06:57 AM
	

"
1022,"Broker checked out incorrectly with Matt - deal has been changed to Nevada.

Kate




"
1023,"516626
Sell BP
25 mw
175.00/on peak
q4-01

516627
sell williams
25 mw
175.00/on peak
q4-01

And the last deal is in, according to Tom and Mike Swerzbin - Tom entered it, 
but it's in Mike's book. Let me know if it's still not in there.

Kate




"
1024,"This is an automated function of Deal Blotter. I have called Will Smith to 
let him know it's malfunctioning; but all deals not using NP15, SP15, or ZP26 
should default to Firm Energy. I've also changed the energy to Firm in Deal 
#458255. If you could let me know the other deal numbers that need to be 
changed, I'll follow up with those too.

Thanks,
Kate


Stephanie Piwetz   11/14/2000 02:16 PM

"
1025,"The contact is James McFall - it's been added.

Kate


   
	
	
	From:  Sharen Cason                           02/07/2001 02:24 PM
	

"
1026,"There is no correction report for 2/7; however, this e-mail was returned to 
me last night. Here goes again.....
"
1027,"Finally! After a slight uphill battle, we've successfully entered the first 
three futures deals under the Mid-Columbia NYMEX settlement price. Because 
all of you were involved in this process in one way or another, I thought I'd 
let you know that it was successful in the end, and forward the deal numbers 
along for reference. They are as follows:

TAGG Futures Deals - QQ0362 (J-01)
               QQ3837 (K-01)
                  QQ7050 (M-01)

ENPOWER Swap Deals - 517925 (J-01)
       517928 (K-01)
       517929 (M-01)

Thank you for all of your patience and cooperation. If you have any 
questions, please let me know.

Kate Symes
(503) 464-7486"
1028,"Sorry if I scared you for a minute there!


   
	
	
	From:  Sharen Cason                           02/09/2001 10:46 AM
	

"
1029,"changed




"
1030,"These ARE a kind of desk-to-desk deal, but officially they are 
cross-portfolio deals, because they cross from the ENAEXEC to WEST portfolio. 
I'm not familiar with Unity, but let me check around here and see if anyone 
knows where these deals should be settled. Also let me know if the fact that 
they are cross-portfolio deals helps you at all. That's all I know right now.

Kate




Rhonda L Denton
02/12/2001 01:22 PM
"
1031,"I'll have to ask Mike about this in the morning - he's in that conference for 
the afternoon. It says 25 mw in his trade log.




"
1032,"FYI -
I've entered a new index-forward per Paul Choi into Matt Motley's Long Term 
Southwest book. The sale is a replica of deal #501404, except deal term is 
March instead of February. All other terms are the same. New deal # is 526973
.

Please let me know if you have any questions.

Kate"
1033,"I must know why your roommates are so scary! Mine - well, that's just 
obvious. Oh, and since we last e-mailed, Molly has gone out and landed 
herself a full-fledged boyfriend. Anything to avoid getting a job. He's a 
""natural healer"" and he's also had ""an experience with Jesus,"" so this one 
should be REALLY interesting. Amber and I had a few drinks last night and 
basically pretended like nothing happened - it's easier that way. We both 
know there's no real friendship to salvage, so keeping it strictly in the 
bars is the smartest thing to do. And Anna, don't think for a minute that my 
description of life in Portland is exciting or cultured or romantic, cause 
it's pretty much the polar opposite of all those things. I've been so tired 
this week that I've been spouting out sentences like ""The red computer needs 
to climb my shoelaces and the people riding the dinosaurs are wrong."" It's 
definitely been interesting. I'm on my way to sushi with a few people right 
now, but of course I can see my reflection in my forehead and my hair looks 
like a sad, sad, small animal. Super! Maybe I'll meet the man of my dreams. 
I'll tell you, Anna - I know you've got scary clashing dresser man, but 
sometimes from the single person's point of view, that doesn't look so bad. 
Hang in there - and call me soon!

Love,
Kate
503-288-6546




"
1034,"These two deals are with APB, not Amerex. I've changed them in the system. 
Thanks for the heads up.

Kate




"
1035,"Bob talked with TFS this morning and has the deals in his trade log now. I'll 
get the deal numbers from him as soon as he inputs them, but you should see 
those trades in the system soon.

Thanks,
Kate




"
